"","abstract","yearsActive","genre","recordLabel","instrument","occupation","yearsActive_first"
"Rodney_Whitaker","Rodney Whitaker (born February 22, 1968) is an American jazz double bass player and educator. ","","Jazz","Mack_Avenue_Records,Alma_Records","Bass_guitar,Double_bass","Musician, educator ",
"Jack_DeJohnette","Jack DeJohnette (born August 9, 1942) is an American jazz drummer, pianist, and composer. An important figure of the fusion era of jazz, DeJohnette is one of the most influential jazz drummers of the 20th century, given his extensive work as leader and sideman for musicians including Charles Lloyd, Freddie Hubbard, Keith Jarrett, Bill Evans, John Abercrombie, Alice Coltrane, Sonny Rollins, Miles Davis, Joe Henderson, Michael Brecker, Herbie Hancock and John Scofield. He was inducted into the Modern Drummer Hall of Fame in 2007. ","1961","New_age_music,Jazz,Jazz_fusion","Columbia_Records,MCA_Records,ECM_Records,Milestone_Records,Prestige_Records,Blue_Note_Records","Drums, piano, percussion, melodica ","Musician, composer ",1961
"Duke_Ellington","Edward Kennedy ""Duke"" Ellington (April 29, 1899 ??May 24, 1974) was an American composer, pianist, and leader of a jazz orchestra from 1923 through the rest of his life. Born in Washington, D.C., Ellington was based in New York City from the mid_1920s and gained a national profile through his orchestra's appearances at the Cotton Club in Harlem. In the 1930s, his orchestra toured Europe several times. Some of the jazz musicians who were members of Ellington's orchestra, such as saxophonist Johnny Hodges, are considered among the best players in the idiom. Ellington melded them into the best_regarded orchestral unit in the history of jazz. Some members stayed with the orchestra for several decades. A master at writing miniatures for the three_minute 78 rpm recording format, Ellington wrote or collaborated on more than one thousand compositions; his extensive body of work is the largest recorded personal jazz legacy, and many of his pieces have become standards. He also recorded songs written by his bandsmen, such as Juan Tizol's ""Caravan"", which brought a Spanish tinge to big band jazz. At the end of the 1930s, Ellington began a nearly thirty_year collaboration with composer_arranger_pianist Billy Strayhorn, whom he called his writing and arranging companion. With Strayhorn, he composed multiple extended compositions, or suites, as well as many short pieces. For a few years at the beginning of Strayhorn's involvement, Ellington's orchestra is considered to have been at its peak, with bassist Jimmy Blanton and tenor saxophonist Ben Webster briefly members. Following a low_profile period (Hodges temporarily left), an appearance by Ellington and his orchestra at the Newport Jazz Festival in July 1956 led to a major revival and regular world tours. Ellington recorded for most American record companies of his era, performed in and scored several films, and composed a handful of stage musicals. Although a pivotal figure in the history of jazz, in the opinion of Gunther Schuller and Barry Kernfeld, ""the most significant composer of the genre"", Ellington himself embraced the phrase ""beyond category"", considering it a liberating principle, and referring to his music as part of the more general category of American Music. Ellington was known for his inventive use of the orchestra, or big band, as well as for his eloquence and charisma. He was awarded a posthumous Pulitzer Prize Special Award for music in 1999. ","1914","Swing_music,Jazz  ","","Piano ",",composer ,musician ,Bandleader ",1914
"Winard_Harper","Hiram Winard Harper (born June 4, 1962) is an American jazz drummer. ","1980","Jazz ","HighNote_Records","Drums ","Musician ",1980
"Charles_Mingus","Charles Mingus Jr. (April 22, 1922 ??January 5, 1979) was an American jazz double bassist, pianist, composer, and bandleader. A major proponent of collective improvisation, he is considered to be one of the greatest jazz musicians and composers in history, with a career spanning three decades and collaborations with other jazz musicians such as Louis Armstrong, Duke Ellington, Charlie Parker, Dizzy Gillespie, and Herbie Hancock. Mingus's compositions continue to be played by contemporary musicians ranging from the repertory bands Mingus Big Band, Mingus Dynasty, and Mingus Orchestra, to the high school students who play the charts and compete in the Charles Mingus High School Competition. In 1993, the Library of Congress acquired Mingus's collected papers?�including scores, sound recordings, correspondence and photos?�in what they described as ""the most important acquisition of a manuscript collection relating to jazz in the Library's history"". ","1943","Free_jazz,Avant_garde_jazz,Post_bop,Jazz,Bebop,Third_stream,Hard_bop,Orchestral_jazz","Columbia_Records,Mercury_Records,Candid_Records,Debut_Records,United_Artists_Records,Atlantic_Records,Impulse!_Records","Double bass, piano, cello, percussion ","Musician   ,bandleader ,composer ",1943
"Kenny_Kirkland","Kenneth David Kirkland (September 28, 1955 ??November 12, 1998) was an American pianist/keyboardist. ","1973","20th_century_classical_music,Neo_bop_jazz,Big_band,Jazz_fusion","GRP_Records,A&M_Records","Piano, keyboards ","Musician ",1973
"Terence_Blanchard","Terence Oliver Blanchard (born March 13, 1962) is an American trumpeter and composer. He started his career in 1982 as a member of the Lionel Hampton Orchestra, then The Jazz Messengers. He has composed more than forty film scores and performed on more than fifty. A frequent collaborator with director Spike Lee, he has been nominated for two Academy Awards for composing the scores for Lee's films BlacKkKlansman (2018) and Da 5 Bloods (2020). He has won five Grammy Awards from fourteen nominations. From 2000 to 2011, Blanchard served as artistic director of the Thelonious Monk Institute of Jazz. In 2011, he was named artistic director of the Henry Mancini Institute at the University of Miami, and in 2015, he became a visiting scholar in jazz composition at the Berklee College of Music. In 2019, the University of California, Los Angeles (UCLA), named Blanchard to its Endowed Chair in Jazz Studies, where he will remain until 2024. The Metropolitan Opera in New York staged Blanchard's opera Fire Shut Up in My Bones in its 2021_2022 season, the first opera by an African American composer in the organization's history. ","1982","Jazz","Columbia_Records,Sony_Classical_Records,Blue_Note_Records","Trumpet, keyboards ","Musician, composer, conductor, arranger, orchestrator ",1982
"Paul_Bley","Paul Bley, CM (November 10, 1932 ??January 3, 2016) was a jazz pianist known for his contributions to the free jazz movement of the 1960s as well as his innovations and influence on trio playing and his early live performance on the Moog and Arp audio synthesizers. His music has been described by Ben Ratliff of the New York Times as ""deeply original and aesthetically aggressive"". Bley's prolific output includes influential recordings from the 1950s through to his solo piano recordings of the 2000s. ","","Free_jazz,Avant_garde_jazz,Post_bop,Free_improvisation","","Piano ","Musician, composer ",
"Jann_Arden","Jann Arden CM (born Jann Arden Anne Richards; March 27, 1962) is a Canadian singer_songwriter and actress. She is famous for her signature ballads, ""Could I Be Your Girl"" and ""Insensitive"", which is her biggest hit to date. ","1992","Pop ","A&M_Records,List_of_Universal_Music_Group_labels","Vocals, guitar ","Singer_songwriter ",1992
"Richard_Johnson_(pianist)","Richard Doron Johnson is an American composer, jazz pianist, and music professor. He is a Jazz professor at the Peabody Conservatory of Music in Baltimore. Johnson often plays at music venues and jazz festivals such as the Detroit International Jazz Festival, Marciac France jazz festival, Chicago Jazz Festival and Hyde Park Jazz Festival. ","1995","Jazz","","Clarinet,Piano","Musician ",1995
"Flora_Purim","Flora Purim (born March 6, 1942) is a Brazilian jazz singer known primarily for her work in the jazz fusion style. She became prominent for her part in Return to Forever with Chick Corea and Stanley Clarke. She has recorded and performed with numerous artists, including Dizzy Gillespie, Gil Evans, Opa, Stan Getz, George Duke, Mickey Hart of the Grateful Dead, Santana, Jaco Pastorius, and her husband Airto Moreira. In 2002, Purim was the recipient of one of Brazil's highest awards, the 2002 Ordem do Rio Branco for Lifetime Achievement. She has been called ""The Queen of Brazilian Jazz"". ","1960","Bossa_nova,Jazz","ECM_Records,Milestone_Records,CTI_Records,Warner_Records","Vocals, percussion ","Singer, Musician ",1960
"James_Morrison_(jazz_musician)","James Lloyd Morrison AM (born 11 November 1962) is an Australian jazz musician. Although his main instrument is trumpet, he has also performed on trombone, tuba, euphonium, flugelhorn, saxophone, clarinet, double bass, guitar, and piano. He is a composer, writing jazz charts for ensembles of various sizes and proficiency levels. He composed and performed the opening fanfare at the Sydney 2000 Olympic Games. In 2009, he joined Steve Pizzati and Warren Brown as a presenter on Top Gear Australia. At the ARIA Music Awards of 2010 Morrison and a cappella group, The Idea of North, won Best Jazz Album, for their collaboration on Feels Like Spring. In 2012 Morrison was appointed as Artistic Director of the Queensland Music Festival for the 2013 and 2015 festivals. He was inducted into the Graeme Bell Hall of Fame 2013 at the Australian Jazz Bell Awards. In July 2013 he conducted the World's Largest Orchestra in Brisbane's Suncorp Stadium, consisting of 7,224 musicians. In March 2015 Morrison opened the James Morrison Academy of Music in Mount Gambier, South Australia ??a tertiary level, dedicated jazz school offering a degree in jazz performance. ","1983","Jazz","ABC_Music,Warner_Music_Australia,East_West_Records","Trumpet, multi_instrumentalist ","Musician   ,songwriter ,artistic director ,TV presenter ,jazz educator ",1983
"Keb'_Mo'","Kevin Roosevelt Moore (born October 3, 1951), known as Keb' Mo', is an American blues musician and five_time Grammy Award winner. He is a singer, guitarist, and songwriter, living in Nashville, Tennessee. He has been described as ""a living link to the seminal Delta blues that travelled up the Mississippi River and across the expanse of America"". His post_modern blues style is influenced by many eras and genres, including folk, rock, jazz, pop and country. The moniker ""Keb Mo"" was coined by his original drummer, Quentin Dennard, and picked up by his record label as a ""street talk"" abbreviation of his given name. ","1970","Country_blues,Delta_blues,Americana_(music)","Epic_Records,Chocolate_City_Records","Vocals, guitar, harmonica, banjo, mandolin, bass, keyboards ","Singer_songwriter, guitarist ",1970
"Mousey_Alexander","Elmer ""Mousey"" Alexander (June 19, 1922 ??October 9, 1988) was an American jazz drummer. ","1980","Jazz ","Famous_Door","Drums ","Musician ",1980
"Benny_Green_(pianist)","Benny Green (born April 4, 1963) is an American hard bop jazz pianist who was a member of Art Blakey's Jazz Messengers. He has been compared to Bud Powell and Oscar Peterson in style and counts them as influences. ","","Jazz","Blue_Note_Records,Telarc_International_Corporation,Criss_Cross_Jazz,Sunnyside_Records","Piano ","Musician ",
"Natalie_Cressman","Natalie Cressman is an American jazz trombonist and vocalist. ","2010","Jazz, pop, rock ","","Trombone ","Musician ",2010
"Al_Foster","Aloysius Tyrone Foster (born January 18, 1943) is an American jazz drummer. Foster played with Miles Davis during the 1970s and was one of the few people to have contact with Davis during his retirement from 1975??981. Foster also played on Davis's 1981 comeback album The Man with the Horn. He was the only musician to play in Davis's band both before, and after, his retirement. He has toured extensively with Herbie Hancock, Sonny Rollins, and Joe Henderson. ","1960","Jazz","","Drums ","Musician ",1960
"Tony_Williams_(drummer)","Anthony Tillmon Williams (December 12, 1945 ??February 23, 1997) was an American jazz drummer. Williams first gained fame in the band of trumpeter Miles Davis and pioneered jazz fusion. He was inducted into the Modern Drummer Hall of Fame in 1986. During his lifetime, music critic Robert Christgau described Williams as ""probably the best drummer in the world"". ","1961","Post_bop,Jazz,Jazz_fusion  ","","Drums ","Musician   ,bandleader ,composer ,producer ",1961
"Reggie_Workman","Reginald ""Reggie"" Workman (born June 26, 1937 in Philadelphia, Pennsylvania) is an American avant_garde jazz and hard bop double bassist, recognized for his work with both John Coltrane and Art Blakey. ","","Avant_garde_jazz,Jazz,Hard_bop","Postcards_Records,Black_Saint/Soul_Note,Evidence_Music,Prestige_Records,Leo_Records,Music_&_Arts,Baybridge_Records","Double bass ","Musician, composer ",
"Betty_Carter","Betty Carter (born Lillie Mae Jones; May 16, 1929 ??September 26, 1998) was an American jazz singer known for her improvisational technique, scatting and other complex musical abilities that demonstrated her vocal talent and imaginative interpretation of lyrics and melodies. Vocalist Carmen McRae once remarked: ""There's really only one jazz singer?�only one: Betty Carter."" ","1948","Post_bop,Jazz","Columbia_Records,Verve_Records,Bet_Car_Records,ABC_Records,United_Artists_Records,Atco_Records,Peacock_Records,Roulette_Records","Vocals ","Singer_songwriter ",1948
"Saskia_Laroo","Saskia Laroo (born 31 July 1959 in Amsterdam), is a Dutch jazz musician who has been dubbed the ""Lady Miles Davis"". Her music style can be described as a combination of jazz, pop, electronic dance music, latin and world music. ","","Bossa_nova,Post_bop,Nu_jazz,Jazz_fusion,Jazz_rap","","Singing,Cornet,Double_bass,Saxophone,Piano,Trumpet","",
"Eric_Revis","Eric Revis (born May 31, 1967) is a jazz bassist and composer. Revis came to prominence as a bassist with singer Betty Carter in the mid_1990s. Since 1997 he has been a member of Branford Marsalis's ensemble. His debut album, Tales of the Stuttering Mime, was released in 2004 on his own 11:11 Records. Revis studied under Ellis Marsalis at the University of New Orleans and at St. Mary's University, Texas. He directed the Jazz Ensemble at Trinity University in San Antonio, Texas in 2007 and 2008. ","1990","Jazz","Clean_Feed_Records,Not_Two_Records,Pyroclastic_Records","Double bass ","Musician, composer ",1990
"Oliver_Jones_(pianist)","Oliver Theophilus Jones, OC CQ (born September 11, 1934 in Little Burgundy, Montreal, Quebec) is a Canadian jazz pianist, organist, composer and arranger. ","1940","Jazz","","Piano ","Musician, composer, arranger, educator ",1940
"Dee_Dee_Bridgewater","Dee Dee Bridgewater (née Denise Garrett, May 27, 1950) is an American jazz singer. She is a three_time Grammy Award_winning singer_songwriter, as well as a Tony Award_winning stage actress. For 23 years, she was the host of National Public Radio's syndicated radio show JazzSet with Dee Dee Bridgewater. She is a United Nations Goodwill Ambassador for the Food and Agriculture Organization. ","1966","Jazz","Elektra_Records,MCA_Records,Okeh_Records,Verve_Records,Sony_Masterworks","","Singer, actress, record producer, songwriter, UN goodwill ambassador, radio host ",1966
"Robert_M._Rucker","Robert Mansfield Rucker (born Chicago, Illinois, raised in Miami, Florida) is a jazz drummer, music teacher, and composer. Rucker has recorded and performed with many notable artists such as Wynton Marsalis, Marcus Roberts, Wes Anderson, , Herb Harris, Scotty Barnhart, Philip Harper, Eric Lewis, Stephon Harris, Eddie Henderson, Sam and Dave, Stephen Marley and Dead Prez. He has also produced music for Sony Pictures, New York University Stern School of Business and performs with a jazz band called The Robert Rucker Project. ","1994","Jazz","","","Jazz Musician ,Music Educator/Certified Music Teacher ",1994
"Nine_Inch_Nails","Nine Inch Nails, commonly abbreviated as NIN and stylized as NI?, is an American industrial rock band formed in 1988 in Cleveland, Ohio. Singer, songwriter, multi_instrumentalist, and producer Trent Reznor was the only permanent member of the band until the official addition of English musician Atticus Ross in 2016. The band's debut album, Pretty Hate Machine (1989), was released via TVT Records. After feuding with TVT about how to promote the album, Reznor signed with Interscope Records and released the EP Broken (1992). The following Nine Inch Nails albums, The Downward Spiral (1994) and The Fragile (1999), were released to critical acclaim and commercial success. Following a hiatus, Nine Inch Nails resumed touring in 2005 and released their fourth album, With Teeth (2005). Following the release of Year Zero (2007), Reznor left Interscope after a feud. Nine Inch Nails continued touring and independently released Ghosts I?�IV (2008) and The Slip (2008) before a second hiatus. Their eighth album, Hesitation Marks (2013), was followed by a trilogy consisting of the EPs Not the Actual Events (2016) and Add Violence (2017) and their ninth album Bad Witch (2018). In 2020, Nine Inch Nails released two further instalments in the Ghosts series, Ghosts V: Together and Ghosts VI: Locusts. When touring, Reznor typically assembles a live band to perform with him under the Nine Inch Nails name. Not including sporadic band hiatuses, this live band has varied over the decades, with the most recent lineup consisting of Robin Finck (who initially joined in 1994), Alessandro Cortini (who initially joined in 2005), and Ilan Rubin (who initially joined in 2009) alongside Reznor and Ross. The band's concerts are noted for their extensive use of thematic visual elements, complex special effects, and elaborate lighting; songs are often rearranged to fit any given performance, and melodies or lyrics of songs that are not scheduled to be performed are sometimes assimilated into other songs. Nine Inch Nails has sold over 20 million records and have been nominated for 13 Grammy Awards, winning for the songs ""Wish"" in 1992 and ""Happiness in Slavery"" in 1996. Time magazine named Reznor one of its most influential people in 1997, while Spin magazine has described him as ""the most vital artist in music"". In 2004, Rolling Stone placed Nine Inch Nails at No. 94 on its list of the 100 greatest artists of all time. Nine Inch Nails were nominated for induction into the Rock and Roll Hall of Fame in 2014, their first year of eligibility; they were nominated again in 2015 and 2020, with the latter resulting in an induction. ","1988",",alternative rock ,electronic rock ,industrial ,ambient ,industrial metal ,Industrial rock ","Capitol_Records,Columbia_Records,Nothing_Records,Interscope_Records,TVT_Records","","",1988
"Germaine_Bazzle","Germaine Bazzle (born March 28, 1932) is a jazz vocalist from New Orleans. ","","Jazz","","Vocals ","",
"Bo_Stief","Bo Stief (born 15 October 1946) is a Danish jazz and rock bassist, composer, and arranger born in Copenhagen. He has worked or recorded with Don Cherry, Miles Davis, Stan Getz, Dizzy Gillespie, Dexter Gordon, Johnny Griffin, Jackie McLean, George Russell, Kenny Drew and Ben Webster, among many other prominent jazz musicians. Since 1980 Stief has been leading bands as Chasing Dreams, Dream Machine or One Song III. In 2005 he was awarded the Danish Django d?�Or as Master of Jazz. ","","Jazz","","Double bass and electric bass ","Double bassist, Composer, Arranger ",
"Doug_Watkins","Douglas Watkins (March 2, 1934 ??February 5, 1962) was an American jazz double bassist. He was best known for being an accompanist to various hard bop artists in the Detroit area, including Donald Byrd and Jackie McLean. ","1950","Jazz","Prestige_Records,Blue_Note_Records,Atlantic_Records","Cello,Double_bass","Musician, composer ",1950
"Jeff_Beck","Geoffrey Arnold Beck (born 24 June 1944) is an English rock guitarist. He rose to prominence with the Yardbirds and after fronted the Jeff Beck Group and Beck, Bogert & Appice. In 1975, he switched to a mainly instrumental style, with a focus on innovative sound, and his releases have spanned genres ranging from blues rock, hard rock, jazz fusion, and a blend of guitar_rock and electronica. Beck is considered among the greatest players in history with Rolling Stone, upon whose cover he has appeared three times, describing him as ""one of the most influential lead guitarists in rock"". He is often called a ""guitarist's guitarist"". Although he recorded two hit albums (in 1975 and 1976) as a solo act, Beck has not established or maintained the sustained commercial success of many of his contemporaries and bandmates. However, he has recorded with many artists. Beck has earned wide critical praise and received the Grammy Award for Best Rock Instrumental Performance six times and Best Pop Instrumental Performance once. In 2014 he received the British Academy's Ivor Novello Award for Outstanding Contribution to British Music. Beck has been inducted into the Rock and Roll Hall of Fame twice: as a member of the Yardbirds (1992) and as a solo artist (2009). ","1964",",Rock ,jazz fusion ,instrumental rock ","EMI,Epic_Records","Guitar ","Musician, songwriter ",1964
"Jackie_McLean","John Lenwood ""Jackie"" McLean (May 17, 1931 ??March 31, 2006) was an American jazz alto saxophonist, composer, bandleader, and educator, and is one of the few musicians to be elected to the DownBeat Hall of Fame in the year of their death. ","1951","Avant_garde_jazz,Jazz,Jazz_fusion","","Alto_saxophone","Musician, composer, educator ",1951
"Bob_Cranshaw","Melbourne Robert Cranshaw (December 3, 1932 ??November 2, 2016) was an American jazz bassist. His career spanned the heyday of Blue Note Records to his recent involvement with the Musicians Union. He is perhaps best known for his long association with Sonny Rollins. Cranshaw performed in Rollins's working band on and off for over five decades, starting with a live appearance at the 1959 Playboy jazz festival in Chicago and on record with the 1962 album The Bridge. Cranshaw died at the age of 83 on November 2, 2016, in Manhattan, New York, from Stage IV cancer. ","","Jazz","","Double bass, electric bass ","Musician ",
"Woody_Herman","Woodrow Charles Herman (May 16, 1913 ??October 29, 1987) was an American jazz clarinetist, saxophonist, singer, and big band leader. Leading groups called ""The Herd"", Herman came to prominence in the late 1930s and was active until his death in 1987. His bands often played music that was cutting edge and experimental for its time; their recordings received numerous Grammy nominations. ","","Swing_music,Big_band,Cool_jazz  ","","Alto_saxophone,Singing,Clarinet,Soprano_saxophone  ","Bandleader  ,musician ",
"Donald_Byrd","Donaldson Toussaint L'Ouverture Byrd II (December 9, 1932 ??February 4, 2013) was an American jazz and rhythm & blues trumpeter and vocalist. A sideman for many other jazz musicians of his generation, Byrd was known as one of the rare bebop jazz musicians who successfully explored funk and soul while remaining a jazz artist. As a bandleader, Byrd was an influence on the early career of Herbie Hancock. ","1954","Funk,Jazz,Rhythm_and_blues,Soul_music,Jazz_funk","Columbia_Records,Verve_Records,Prestige_Records,Blue_Note_Records,Transition_Records","Trumpet, flugelhorn, vocals ","Musician ",1954
"Harry_Sokal_(musician)","Harald Sokal (born 18 March 1954) is an Austrian jazz saxophonist. ","1974","Jazz ","","Saxophone ","Musician ",1974
"McCoy_Tyner","Alfred McCoy Tyner (December 11, 1938 ??March 6, 2020) was an American jazz pianist and composer known for his work with the John Coltrane Quartet and a long solo career. He was an NEA Jazz Master and a five_time Grammy winner. Not a player of electric keyboards and synthesizers, he was committed to acoustic instrumentation. Tyner, who was widely imitated, is one of the most recognizable and most influential pianists in jazz history. ","1960","Avant_garde_jazz,Jazz","Milestone_Records,Blue_Note_Records,Telarc_International_Corporation,Impulse!_Records,Half_Note_Records","Piano ","Musician, composer, bandleader ",1960
"Candy_Dulfer","Candy Dulfer (born 19 September 1969) is a Dutch jazz and pop saxophonist. She is the daughter of jazz saxophonist Hans Dulfer. She began playing at age six and founded her band Funky Stuff when she was fourteen. Her debut album Saxuality (1990) received a Grammy nomination. She has performed and recorded with Hans Dulfer, Prince, Dave Stewart, Van Morrison, Angie Stone, Maceo Parker and Rick Braun and has performed live with Alan Parsons (1995), Pink Floyd (1990), and Tower of Power (2014). She hosted the Dutch television series Candy Meets... (2007), in which she interviewed musicians. In 2013, she became a judge in the 5th season of the Dutch version of X Factor. ","1981","Jazz, funk, soul ","Bertelsmann_Music_Group,Eagle_Records,N_Coded_Music,Heads_Up_International","Saxophone  ,keyboards ","Musician ",1981
"Andreas_Varady","Andreas Varady (born 24 July 1997) is a Slovak Hungarian jazz guitarist managed by Quincy Jones. Regarded as a child prodigy, he has been influenced by guitarists Django Reinhardt, Wes Montgomery, and George Benson and has been performing internationally since the age of thirteen. ","2010","Jazz,Gypsy_jazz","Verve_Records,Lyte_Records","Guitar ","Musician ",2010
"Freddie_Hubbard","Frederick Dewayne Hubbard (April 7, 1938 ??December 29, 2008) was an American jazz trumpeter. He played bebop, hard bop, and post_bop styles from the early 1960s onwards. His unmistakable and influential tone contributed to new perspectives for modern jazz and bebop. ","1958","Jazz","Columbia_Records,Blue_Note_Records,Atlantic_Records,CTI_Records","Mellophone,Cornet,Flugelhorn,French_horn,Trumpet  ","Musician   ,bandleader ,composer ",1958
"Randy_Gelispie","Randy ""Uncle G"" Gelispie is an American jazz percussionist, drummer, and educator. Born and raised in Akron, Ohio, Randy Gelispie began playing drums at a young age. Gelispie is the instructor of jazz drums at the Michigan State University College of Music. He has been a professional jazz drummer since he started playing with a 10_piece band in the ninth grade. Gelispie has traveled on the road with Wes Montgomery, Sonny Stitt, Dinah Washington, Etta Jones, Lou Donaldson, and Gene Ammons. In the Detroit area, he has performed with Joe Williams, Nancy Wilson, Dizzy Gillespie, Tommy Flanagan, Barry Harris, Oliver Jones, O. C. Smith, Al Hibbler, and most recently with Geri Allen. Blues musicians he has worked with include Jimmy Witherspoon, John Lee Hooker, and Big Maybelle. Locally, he has played with many great jazz musicians, including , Marcus Belgrave, , Rodney Whitaker, , , , Bill Heid, Andrew Speight, and Wycliffe Gordon. ","","Jazz","","Drum_kit,Percussion_instrument","Musician ",
"Peter_Bernstein_(guitarist)","Peter Andrew Bernstein (born September 3, 1967) is an American jazz guitarist. ","1990","Jazz","Smoke_Sessions_Records,Criss_Cross_Jazz","Guitar ","Musician ",1990
"Quincy_Jones","Quincy Delight Jones Jr. (born March 14, 1933) is an American record producer, musician, songwriter, composer, arranger, and film and television producer. His career spans 70 years in the entertainment industry with a record of 80 Grammy Award nominations, 28 Grammys, and a Grammy Legend Award in 1992. Jones came to prominence in the 1950s as a jazz arranger and conductor before working on pop music and film scores. In 1968, Jones and his songwriting partner Bob Russell became the first African Americans to be nominated for an Academy Award for Best Original Song for ""The Eyes of Love"" from the film Banning. Jones was also nominated for an Academy Award for Best Original Score for his work on the 1967 film In Cold Blood, making him the first African American to be nominated twice in the same year. Jones produced three of Michael Jackson's most successful albums: Off the Wall (1979), Thriller (1982), and Bad (1987). In 1985, Jones produced and conducted the charity song ""We Are the World"", which raised funds for victims of famine in Ethiopia. In 1971, he became the first African American to be the musical director and conductor of the Academy Awards. In 1995, he was the first African American to receive the Academy's Jean Hersholt Humanitarian Award. He is tied with sound designer Willie D. Burton as the second most Oscar_nominated African American, with seven nominations each. In 2013, Jones was inducted into the Rock & Roll Hall of Fame as the winner, alongside Lou Adler, of the Ahmet Ertegun Award. He was named one of the most influential jazz musicians of the 20th century by Time. ","1951","","","",",conductor ,songwriter ,Record producer ,arranger ,record executive ",1951
"Dwayne_Dolphin","Dwayne Dolphin is a jazz and funk bassist. ","","Funk,Jazz","","Bass_guitar","Musician ",
"Igor_Butman","Igor Butman PAR is a Russian jazz saxophonist born in St. Petersburg, Russia in 1961. Butman holds dual citizenship for both the US and Russian Federation. He is considered to be a virtuoso saxophonist, and a skilled bandleader. American saxophonist Grover Washington, Jr. was instrumental in introducing Igor Butman to American audiences by featuring the Russian saxophonist on his 1988 album, Then and Now. American trumpet player Wynton Marsalis has also been a strong champion of Igor Butman. Former US President Bill Clinton has called Butman ""my favorite living saxophone player."" ","1976","Jazz,Classical_music","Butman_Music","Soprano_saxophone,Tenor_saxophone","Composer,Saxophone,Bandleader",1976
"Don_Friedman","Donald Ernest Friedman (May 4, 1935 ??June 30, 2016) was an American jazz pianist. He began playing in Los Angeles and moved to New York in 1958. In the 1960s, he played with both modern stylists and more traditional musicians. ","","Jazz","","Piano ","Musician, composer, bandleader ",
"Joshua_Redman","Joshua Redman (born February 1, 1969) is an American jazz saxophonist and composer. ","","Jazz","Nonesuch_Records,Warner_Records","tenor, alto and soprano saxophones, keyboards ","Musician, composer ",
"Roy_Hargrove","Roy Anthony Hargrove (October 16, 1969 ??November 2, 2018) was an American jazz musician and composer whose principal instruments were the trumpet and flugelhorn. He achieved worldwide acclaim after winning two Grammy Awards for differing types of music in 1997 and in 2002. Hargrove primarily played in the hard bop style for the majority of his albums, but also had a penchant for genre_crossing exploration and collaboration with a variety of hip hop, soul, R&B and alternative rock artists. ","1987","Jazz, Latin jazz, M_Base, soul ","","Trumpet, flugelhorn, vocals ","Musician, band leader, composer ",1987
"Paul_Young","Paul Antony Young (born 17 January 1956) is an English singer, songwriter and musician. Formerly the frontman of the short_lived bands Kat Kool & the Kool Cats, Streetband and Q_Tips, he became a teen idol with his solo success in the 1980s. His hit singles include ""Love of the Common People"", ""Wherever I Lay My Hat"", ""Come Back and Stay"", ""Every Time You Go Away"" and ""Everything Must Change"", all reaching the top 10 of the UK Singles Chart. Released in 1983, his debut album, No Parlez, the first of three UK number_one albums, made him a household name. His smooth yet soulful voice belonged to a genre known as ""blue_eyed soul"". At the 1985 Brit Awards, Young received the award for Best British Male. Associated with the Second British Invasion of the US, ""Every Time You Go Away"" reached number one on the Billboard Hot 100 in 1985. It also won Best British Video at the 1986 Brit Awards. In July 1985, Young appeared at Live Aid held at Wembley Stadium, London, performing the Band Aid hit ""Do They Know It's Christmas?"" (having sung the opening lines on the original single release) and his own hits ""Come Back and Stay"" and ""Every Time You Go Away"", with Alison Moyet joining him on stage to perform ""That's The Way Love Is"". Since the mid_1990s, Young has performed with his band Los Pacaminos. ","1978","New_wave_music,Blue_eyed_soul,Pop_rock  ","Columbia_Records,MCA_Records","Vocals, guitar, bass guitar ","Singer, songwriter, musician ",1978
"Richard_Davis_(bassist)","Richard Davis (born April 15, 1930) is an American jazz bassist. Among his best_known contributions to the albums of others are Eric Dolphy's Out to Lunch!, Andrew Hill's Point of Departure, and Van Morrison's Astral Weeks, of which critic Greil Marcus wrote (in The Rolling Stone Illustrated History of Rock and Roll), ""Richard Davis provided the greatest bass ever heard on a rock album."" ","1940","Jazz,Classical_music","Marge_Records,Muse_Records,Palmetto_Records","Double bass ","Musician, educator ",1940
"Orrin_Keepnews","Orrin Keepnews (March 2, 1923 ??March 1, 2015) was an American jazz writer and record producer known for founding Riverside Records and Milestone Records, for freelance work, and for his work at other labels. ","1952","Jazz","Milestone_Records,Riverside_Records,Landmark_Records,Fantasy_Records","","Record producer, writer ",1952
